State,Agency,Category,Offense,Crimes
California,Adelanto,Total,"Total, all crimes","1,535"
California,Agnews Developmental Ctr,Total,"Total, all crimes",NA
California,Agoura Hills,Total,"Total, all crimes",381
California,Alameda,Total,"Total, all crimes","1,725"
California,Alameda Atsf Railway,Total,"Total, all crimes",NA
California,Alameda County,Total,"Total, all crimes","8,564"
California,Alameda Highway Patrol,Total,"Total, all crimes","5,814"
California,Alameda State Police,Total,"Total, all crimes",NA
California,Albany,Total,"Total, all crimes",492
California,Alhambra,Total,"Total, all crimes","2,036"
California,Aliso Viejo,Total,"Total, all crimes",613
California,Allan Hancock College,Total,"Total, all crimes",18
California,Alpine County,Total,"Total, all crimes",54
California,Alpine Highway Patrol,Total,"Total, all crimes",42
California,Alturas,Total,"Total, all crimes",330
California,Amador County,Total,"Total, all crimes",790
California,Amador Highway Patrol,Total,"Total, all crimes",179
California,American Canyon,Total,"Total, all crimes","1,374"
California,Anaheim,Total,"Total, all crimes","10,268"
California,Anderson,Total,"Total, all crimes","1,148"
California,Antioch,Total,"Total, all crimes","4,300"
California,Apple Valley,Total,"Total, all crimes","2,666"
California,Arcadia,Total,"Total, all crimes","1,367"
California,Arcata,Total,"Total, all crimes","1,547"
California,Arroyo Grande,Total,"Total, all crimes",587
California,Artesia,Total,"Total, all crimes",719
California,Arvin,Total,"Total, all crimes",621
California,Atascadero,Total,"Total, all crimes","1,136"
California,Atascadero State Hospital,Total,"Total, all crimes","1,005"
California,Atherton,Total,"Total, all crimes",87
California,Atwater,Total,"Total, all crimes","1,844"
California,Auburn,Total,"Total, all crimes",590
California,Avalon,Total,"Total, all crimes",161
California,Avenal,Total,"Total, all crimes",893
California,Azusa,Total,"Total, all crimes","1,818"
California,Bakersfield,Total,"Total, all crimes","22,436"
California,Baldwin Park,Total,"Total, all crimes","2,066"
California,Banning,Total,"Total, all crimes","2,164"
California,Barstow,Total,"Total, all crimes","3,101"
California,Bear Valley,Total,"Total, all crimes",47
California,Beaumont,Total,"Total, all crimes","1,887"
California,Bell,Total,"Total, all crimes","1,356"
California,Bell Gardens,Total,"Total, all crimes","2,022"
California,Bellflower,Total,"Total, all crimes","3,127"
California,Belmont,Total,"Total, all crimes",375
California,Belvedere,Total,"Total, all crimes",15
California,Benicia,Total,"Total, all crimes",562
California,Berkeley,Total,"Total, all crimes","2,934"
California,Beverly Hills,Total,"Total, all crimes",839
California,Big Bear Lake,Total,"Total, all crimes",637
California,Biggs,Total,"Total, all crimes",43
California,Bishop,Total,"Total, all crimes",284
California,Blue Lake,Total,"Total, all crimes",NA
California,Blythe,Total,"Total, all crimes",841
California,Bradbury,Total,"Total, all crimes",17
California,Brawley,Total,"Total, all crimes","1,607"
California,Brea,Total,"Total, all crimes","1,494"
California,Brentwood,Total,"Total, all crimes","1,913"
California,Brisbane,Total,"Total, all crimes",58
California,Broadmoor,Total,"Total, all crimes",99
California,Buellton,Total,"Total, all crimes",211
California,Buena Park,Total,"Total, all crimes","3,655"
California,Burbank,Total,"Total, all crimes","5,216"
California,Burlingame,Total,"Total, all crimes",648
California,Butte County,Total,"Total, all crimes","3,575"
California,Butte Highway Patrol,Total,"Total, all crimes",882
California,Butte State Police,Total,"Total, all crimes",NA
California,CA St Polytec Univ: Pomona,Total,"Total, all crimes",33
California,Cabrillo College,Total,"Total, all crimes",NA
California,Cal Poly San Luis Obispo,Total,"Total, all crimes",197
California,Calabasas,Total,"Total, all crimes",425
California,Calaveras County,Total,"Total, all crimes","1,755"
California,Calaveras Highway Patrol,Total,"Total, all crimes",252
California,Calexico,Total,"Total, all crimes","1,567"
California,California City,Total,"Total, all crimes",776
